Services Matrix,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
NOTE: Final combined numbers are from A58:R68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pricing for each individual service,Basic,,,Enthusiast,,,Luxury,,,,,,,,,,,,,,,,,,,,,,,,,
,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,,,,,,,,,,,,,,,,,,,,,,,
Corporate Value ,,13081429.71,8940102.325,34009831.35,31975512.01,81942822.17,168149687.4,297512195.6,,,,,,,Enthusiast Labor Internal COGS,214416,980953.2000000002,1926527.7600000007,3143110.7430000016,4849769.636100002,7301130.407820003,10552996.483884005,,,Enthusiast Labor Internal COGS,214416,980953.2,1926527.76,3143110.743,4849769.636,7301130.408,10552996.48
,,,,,,,,,,,,,,,Enthusiast Labor Margin,83384,381481.8000000001,749205.2400000002,1222320.8445000006,1886021.5251500008,2839328.4919300005,4103943.0770660015,,,Enthusiast Labor Margin,83384,381481.8,749205.24,1222320.845,1886021.525,2839328.492,4103943.077
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
,,,,,,,,,,,Metric,Year 7,,,Enthusiast Customers,20,91.5,179.70000000000002,293.17875000000004,452.37012500000003,681.0247750000001,984.3478550000001,,,Enthusiast Customers,20,91.5,179.7,293.17875,452.370125,681.024775,984.347855
,,,,,,,,,,,Hardware Revenue,200638850.76061404,,,Support Customers (New),10,45.75,89.85,146.589375,226.1850625,340.5123875,492.1739275,,,Support Customers (New),10,45.75,89.85,146.589375,226.1850625,340.5123875,492.1739275
,,,,,,,,,,,Hardware COGS,158301944.1364081,,,Support Subscribers (Cumulative),10,55.75,145.6,292.189375,518.3744375,858.886825,1351.060753,,,Support Subscribers (Cumulative),10,55.75,145.6,292.189375,518.3744375,858.886825,1351.060753
,,,,,,,,,,,Hardware Margin,42336906.62420595,,,Churning Subscribers,,3,16.725,82.3425,150.610875,265.8414,435.579675,,,Churning Subscribers,,3,16.725,82.3425,150.610875,265.8414,435.579675
,,,,,,,,,,,,,,,Total Subscribers,10,52.75,128.875,209.846875,367.7635625,593.045425,915.4810775,,,Total Subscribers,10,52.75,128.875,209.846875,367.7635625,593.045425,915.4810775
,,,,,,,,,,,Labor Hours,271041.74397101003,,,Revenue of Support,23542.5225,124186.8062,303691.3325,494628.7809,866845.6825,1397752.828,2157734.282,,,Revenue of Support,23542.5225,124186.8062,303691.3325,494628.7809,866845.6825,1397752.828,2157734.282
,,,,,,,,,,,Labor Revenue,33880217.99637625,,,Cost of Support,16479.76575,86930.76433,212583.9328,346240.1467,606791.9777,978426.9796,1510413.998,,,Cost of Support,16479.76575,86930.76433,212583.9328,346240.1467,606791.9777,978426.9796,1510413.998
,,,,,,,,,,,Labor Internal Cost,24393756.957390904,,,Enthusiast Revenue,696186.0225,3201530.819,6353111.585,10366769.24,16099267.88,24327923.7,35301293.83,,,Enthusiast Revenue,696186.0225,3201530.819,6353111.585,10366769.24,16099267.88,24327923.7,35301293.83
,,,,,,,,,,,Labor Margin,9486461.03898535,,,Enthusiast Costs,528430.0408,2433793.16,4822563.861,7866952.441,12211604.9,18449506.54,26763710.15,,,Enthusiast Costs,528430.0408,2433793.16,4822563.861,7866952.441,12211604.9,18449506.54,26763710.15
,,,,,,,,,,,,,,,Enthusiast Margin,167755.9818,767737.6587,1530547.724,2499816.797,3887662.978,5878417.162,8537583.68,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7
,,,,,,,,,,,Gross Revenue,234519068.75699028,,,,,,,,,,,,,Luxury Hardware Revenue,17417733.75,31409979.86,41657106.5,54385173.81,83642690.74,126444543.5,173196719.8
,,,,,,,,,,,"Net Revenue 
(Hardware Margin + Labor Revenue)",51823367.663191296,,,,,,,,,,,,,Luxury Hardware Margin,,,,,,,
,,,,,,,,,,,,,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,Luxury Labor Revenue,2028750,3658512.5,4823015,6291424.25,9679186.538,14640532.53,20042665.85
,,,,,,,,,,,Marketing,3627635.736423391,,,Luxury Hardware Revenue,17417733.75,31409979.86,41657106.5,54385173.81,83642690.74,126444543.5,173196719.8,,,Luxury Customers,75,135.25,178.3,232.585,357.82575,541.23965,740.94883
,,,,,,,,,,,Operations,7255271.472846782,,,Luxury Hardware Margin,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Executive (Management, HR, Legal, etc.)",2591168.383159565,,,Luxury Labor Revenue,2028750,3658512.5,4823015,6291424.25,9679186.538,14640532.53,20042665.85,,,Revenue Per Luxury Customer,259286.45,259286.45,260684.9215,260879.2401,260802.5758,260670.2521,260799.9066
,,,,,,,,,,,Debt Service,951300,,,Luxury Customers,75,135.25,178.3,232.585,357.82575,541.23965,740.94883,,,# of New Luxury Sub Customers,60,108.2,142.64,186.068,286.2606,432.99172,592.759064
,,,,,,,,,,,Corporate Overhead,14425375.592429737,,,,,,,,,,,,,Cumulative Sub Customers,60,168.2,310.84,496.908,783.1686,1216.16032,1808.919384
,,,,,,,,,,,,,,,Revenue Per Luxury Customer,259286.45,259286.45,260684.9215,260879.2401,260802.5758,260670.2521,260799.9066,,,Churning Luxury Sub Customers,,12,33.64,117.608,175.2416,278.21912,430.820304
,,,,,,,,,,,EBITDA,37397992.07076156,,,# of New Luxury Sub Customers,60,108.2,142.64,186.068,286.2606,432.99172,592.759064,,,Total Luxury Sub Customers,60,156.2,277.2,379.3,607.927,937.9412,1378.09908
,,,,,,,,,,,,,,,Cumulative Sub Customers,60,168.2,310.84,496.908,783.1686,1216.16032,1808.919384,,,,,,,,,,
,,,,,,,,,,,,,,,Churning Luxury Sub Customers,,12,33.64,117.608,175.2416,278.21912,430.820304,,,Support Revenue Per Customer,18150.0515,18150.0515,18247.9445,18261.54681,18256.1803,18246.91764,18255.99346
,,,,,,,,,,,,,,,Total Luxury Sub Customers,60,156.2,277.2,379.3,607.927,937.9412,1378.09908,,,Luxury Support Subscription Revenue,1089003.09,2835038.044,5058330.216,6926604.704,11098424.92,17114535.83,25158567.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Support Revenue Per Customer,18150.0515,18150.0515,18247.9445,18261.54681,18256.1803,18246.91764,18255.99346,,,Support Cost Per customer,12705.03605,12705.03605,12773.56115,12783.08277,12779.32621,12772.84235,12779.19542
,,,,,,,,,,,,,,,Luxury Support Subscription Revenue,1089003.09,2835038.044,5058330.216,6926604.704,11098424.92,17114535.83,25158567.8,,,Luxury Support Costs,762302.163,1984526.631,3540831.151,4848623.293,7768897.446,11980175.08,17610997.46
,,,,,,,,,,,,,,,,,,,,,,,,,Luxury Revenue,20535486.84,,,,,,
,,,,,,,,,,,,,,,Support Cost Per customer,12705.03605,12705.03605,12773.56115,12783.08277,12779.32621,12772.84235,12779.19542,,,Luxury Costs,,,,,,,
,,,,,,,,,,,,,,,Luxury Support Costs,762302.163,1984526.631,3540831.151,4848623.293,7768897.446,11980175.08,17610997.46,,,Total Support Customers,72,221.65,441.385,641.188375,1063.847913,1670.037855,2508.473861
,,,,,,,,,,,,,,,Luxury Revenue,20535486.84,,,,,,,,,Total Support Revenue,1113325.61,2964177.835,5375937.684,7441718.216,11999957.19,18566952.33,27400803.97
,,,,,,,,,,,,,,,Luxury Costs,,,,,,,,,,Total Support Costs,779327.927,2074924.484,3763156.379,5209202.751,8399970.036,12996866.63,19180562.78
,,,,,,,,,,,,,,,Luxury Margin,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Total Support Customers,72,221.65,441.385,641.188375,1063.847913,1670.037855,2508.473861,,,,,,,,,,
,,,,,,,,,,,,,,,Total Support Revenue,1113325.61,2964177.835,5375937.684,7441718.216,11999957.19,18566952.33,27400803.97,,,,,,,,,,
,,,,,,,,,,,,,,,Total Support Costs,779327.927,2074924.484,3763156.379,5209202.751,8399970.036,12996866.63,19180562.78,,,,,,,,,,
