Services Matrix,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
NOTE: Final combined numbers are from A58:R68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pricing for each individual service,Basic,,,Enthusiast,,,Luxury,,,,,,,,,,,,,,,,,,,,,,,,,
,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast Labor Internal COGS,107208,168852.6,247650.48,391597.3215,469916.7858,563900.143,676680.1716,,,Enthusiast Labor Internal COGS,268020,309563.1,340519.41,391597.3215,469916.7858,563900.143,676680.1716,,,,,,,,,,,,,,,
Enthusiast Labor Margin,41692,65664.9,96308.52,152287.8473,182745.4167,219294.5,263153.4,,,Enthusiast Labor Margin,104230,120385.65,132424.215,152287.8473,182745.4167,219294.5,263153.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast Customers,10,15.75,23.1,36.526875,43.83225,52.5987,63.11844,,,Enthusiast Customers,25,28.875,31.7625,36.526875,43.83225,52.5987,63.11844,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired - Luxury  Tier Only,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,Grown - Luxury  Tier Only,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,,,,,,,,,,,,,
Luxury Hardware Revenue,8708866.875,6705827.494,4818752.978,4749913.649,5699896.379,6839875.655,8207850.786,,,Luxury Hardware Revenue,4644729,3657724.088,4023496.496,4627020.971,5552425.165,6662910.198,7995492.237,,,,,,,,,,,,,,,
Luxury Hardware COGs,6848062.556,5273008.168,3691105.718,3638375.636,4366050.763,5239260.916,6287113.099,,,Luxury Hardware COGs,3745298.52,2949422.585,3244364.843,3731019.569,4477223.483,5372668.18,6447201.816,,,,,,,,,,,,,,,
Luxury Hardware Margin,1860804.319,1432819.325,1127647.26,1111538.013,1333845.616,1600614.739,1920737.687,,,Luxury Hardware Margin,899430.48,708301.503,779131.6533,896001.4013,1075201.682,1290242.018,1548290.421,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxury Labor Hours,8115,6248.55,4373.985,4311.4995,5173.7994,6208.55928,7450.271136,,,Luxury Labor Hours,4328,3408.3,3749.13,4311.4995,5173.7994,6208.55928,7450.271136,,,,,,,,,,,,,,,
Luxury Labor Revenue,1014375,781068.75,546748.125,538937.4375,646724.925,776069.91,931283.892,,,Luxury Labor Revenue,541000,426037.5,468641.25,538937.4375,646724.925,776069.91,931283.892,,,,,,,,,,,,,,,
Luxury Labor Internal COGS,730350,562369.5,393658.65,388034.955,465641.946,558770.3352,670524.4022,,,Luxury Labor Internal COGS,389520,306747,337421.7,388034.955,465641.946,558770.3352,670524.4022,,,,,,,,,,,,,,,
